|No Origem|  |No destino|  |Distacia|
      98---------7     =      29
      98---------97     =      30
      98---------22     =      43
      98---------0     =      22
      98---------58     =      19
      98---------1     =      36
      98---------110     =      25
      98---------11     =      60
      98---------105     =      27
      98---------122     =      39
      98---------76     =      32
      98---------27     =      44
      98---------89     =      25
      98---------119     =      39
      98---------30     =      42
      98---------107     =      40
      98---------85     =      14
      98---------21     =      31
      98---------71     =      32
      98---------67     =      26
      98---------48     =      38
      98---------42     =      37
      98---------43     =      32
      98---------99     =      50
      98---------15     =      23
      98---------2     =      32
      98---------68     =      38
      98---------114     =      25
      98---------111     =      30
      98---------82     =      30
      98---------52     =      31
      98---------118     =      32
      98---------16     =      37
      98---------32     =      16
      98---------31     =      33
      98---------57     =      46
      98---------69     =      39
      98---------96     =      13
      98---------117     =      42
      98---------106     =      32
      98---------93     =      43
      98---------60     =      43
      98---------13     =      14
      98---------56     =      27
      98---------17     =      41
      98---------84     =      26
      98---------95     =      47
      98---------61     =      34
      98---------77     =      25
      98---------109     =      20
      98---------47     =      38
      98---------4     =      31
      98---------91     =      28
      98---------83     =      49
      98---------59     =      14
      98---------87     =      33
      98---------94     =      39
      98---------55     =      38
      98---------90     =      40
      98---------35     =      61
      98---------53     =      3
      98---------123     =      40
      98---------74     =      32
      98---------81     =      33
      98---------5     =      32
      98---------86     =      51
      98---------6     =      45
      98---------115     =      39
      98---------70     =      26
      98---------8     =      20
      98---------45     =      33
      98---------98     =      0
      98---------62     =      28
      98---------19     =      44
      98---------34     =      35
      98---------41     =      41
      98---------23     =      31
      98---------78     =      33
      98---------24     =      27
      98---------36     =      42
      98---------101     =      38
      98---------54     =      35
      98---------49     =      35
      98---------14     =      22
      62---------73     =      65
      62---------26     =      71
      62---------64     =      44
      62---------28     =      61
      62---------3     =      63
      62---------40     =      60
      62---------80     =      73
      62---------44     =      53
      62---------120     =      37
      62---------79     =      72
      62---------103     =      76
      62---------121     =      61
      62---------12     =      77
      62---------63     =      44
      62---------75     =      53
      62---------9     =      63
      62---------113     =      85
      62---------10     =      34
      62---------50     =      35
      62---------100     =      71
      62---------25     =      51
      62---------39     =      48
      62---------116     =      60
      62---------20     =      54
      62---------66     =      29
      62---------72     =      47
      62---------38     =      66
      62---------51     =      67
      62---------29     =      82
      62---------92     =      50
      62---------65     =      70
      62---------102     =      45
      62---------33     =      35
      62---------112     =      42
      62---------18     =      55
      62---------108     =      59
      62---------46     =      57
      62---------124     =      53
      62---------37     =      40
      62---------104     =      47
      62---------88     =      60
      62---------7     =      53
      62---------97     =      45
      62---------22     =      42
      62---------0     =      62
      62---------58     =      41
      62---------1     =      40
      62---------110     =      35
      62---------11     =      79
      62---------105     =      30
      62---------122     =      54
      62---------76     =      50
      62---------27     =      48
      62---------89     =      43
      62---------119     =      8
      62---------30     =      59
      62---------107     =      37
      62---------85     =      51
      62---------21     =      50
      62---------71     =      51
      62---------67     =      55
      62---------48     =      63
      62---------42     =      53
      62---------43     =      50
      62---------99     =      49
      62---------15     =      52
      62---------2     =      65
      62---------68     =      35
      62---------114     =      62
      62---------111     =      31
      62---------82     =      52
      62---------52     =      44
      62---------118     =      60
      62---------16     =      63
      62---------32     =      45
      62---------31     =      45
      62---------57     =      66
      62---------69     =      56
      62---------96     =      53
      62---------117     =      64
      62---------106     =      54
      62---------93     =      60
      62---------60     =      65
      62---------13     =      41
      62---------56     =      59
      62---------17     =      64
      62---------84     =      45
      62---------95     =      69
      62---------61     =      31
      62---------77     =      46
      62---------109     =      48
      62---------47     =      60
      62---------4     =      53
      62---------91     =      68
      62---------83     =      66
      62---------59     =      36
      62---------87     =      45
      62---------94     =      51
      62---------55     =      52
      62---------90     =      63
      62---------35     =      68
      62---------53     =      49
      62---------123     =      48
      62---------74     =      66
      62---------81     =      55
      62---------5     =      44
      62---------86     =      56
      62---------6     =      59
      62---------115     =      70
      62---------70     =      49
      62---------8     =      57
      62---------45     =      55
      62---------98     =      67
      62---------62     =      0
      62---------19     =      60
      62---------34     =      34
      62---------41     =      63
      62---------23     =      69
      62---------78     =      62
      62---------24     =      48
      62---------36     =      59
      62---------101     =      71
      62---------54     =      68
      62---------49     =      57
      62---------14     =      54
      19---------73     =      36
      19---------26     =      21
      19---------64     =      21
      19---------28     =      33
      19---------3     =      18
      19---------40     =      37
      19---------80     =      35
      19---------44     =      60
      19---------120     =      28
      19---------79     =      63
      19---------103     =      34
      19---------121     =      20
      19---------12     =      45
      19---------63     =      16
      19---------75     =      43
      19---------9     =      40
      19---------113     =      16
      19---------10     =      48
      19---------50     =      26
      19---------100     =      18
      19---------25     =      18
      19---------39     =      18
      19---------116     =      19
      19---------20     =      16
      19---------66     =      24
      19---------72     =      18
      19---------38     =      19
      19---------51     =      26
      19---------29     =      37
      19---------92     =      36
      19---------65     =      35
      19---------102     =      17
      19---------33     =      26
      19---------112     =      33
      19---------18     =      33
      19---------108     =      31
      19---------46     =      32
      19---------124     =      29
      19---------37     =      12
      19---------104     =      38
      19---------88     =      0
      19---------7     =      5
      19---------97     =      25
      19---------22     =      33
      19---------0     =      27
      19---------58     =      45
      19---------1     =      37
      19---------110     =      26
      19---------11     =      55
      19---------105     =      25
      19---------122     =      29
      19---------76     =      22
      19---------27     =      39
      19---------89     =      30
      19---------119     =      16
      19---------30     =      31
      19---------107     =      28
      19---------85     =      3
      19---------21     =      20
      19---------71     =      3
      19---------67     =      20
      19---------48     =      34
      19---------42     =      28
      19---------43     =      13
      19---------99     =      31
      19---------15     =      28
      19---------2     =      36
      19---------68     =      26
      19---------114     =      14
      19---------111     =      28
      19---------82     =      9
      19---------52     =      10
      19---------118     =      29
      19---------16     =      33
      19---------32     =      21
      19---------31     =      21
      19---------57     =      32
      19---------69     =      33
      19---------96     =      18
      19---------117     =      34
      19---------106     =      35
      19---------93     =      32
      19---------60     =      44
      19---------13     =      14
      19---------56     =      32
      19---------17     =      27
      19---------84     =      31
      19---------95     =      50
      19---------61     =      22
      19---------77     =      14
      19---------109     =      25
      19---------47     =      30
      19---------4     =      23
      19---------91     =      33
      19---------83     =      13
      19---------59     =      19
      19---------87     =      15
      19---------94     =      27
      19---------55     =      23
      19---------90     =      35
      19---------35     =      53
      19---------53     =      34
      19---------123     =      32
      19---------74     =      29
      19---------81     =      31
      19---------5     =      14
      19---------86     =      42
      19---------6     =      37
      19---------115     =      20
      19---------70     =      31
      19---------8     =      9
      19---------45     =      30
      19---------98     =      48
      19---------62     =      17
      19---------19     =      0
      19---------34     =      19
      19---------41     =      39
      19---------23     =      29
      19---------78     =      25
      19---------24     =      16
      19---------36     =      34
      19---------101     =      19
      19---------54     =      24
      19---------49     =      27
      19---------14     =      26
      34---------73     =      45
      34---------26     =      50
      34---------64     =      10
      34---------28     =      40
      34---------3     =      29
      34---------40     =      46
      34---------80     =      43
      34---------44     =      51
      34---------120     =      22
      34---------79     =      62
      34---------103     =      39
      34---------121     =      31
      34---------12     =      45
      34---------63     =      33
      34---------75     =      38
      34---------9     =      57
      34---------113     =      70
      34---------10     =      59
      34---------50     =      43
      34---------100     =      49
      34---------25     =      20
      34---------39     =      38
      34---------116     =      28
      34---------20     =      47
      34---------66     =      48
      34---------72     =      38
      34---------38     =      36
      34---------51     =      37
      34---------29     =      49
      34---------92     =      42
      34---------65     =      53
      34---------102     =      34
      34---------33     =      51
      34---------112     =      45
      34---------18     =      35
      34---------108     =      45
      34---------46     =      34
      34---------124     =      38
      34---------37     =      30
      34---------104     =      43
      34---------88     =      56
      34---------7     =      36
      34---------97     =      36
      34---------22     =      22
      34---------0     =      29
      34---------58     =      31
      34---------1     =      43
      34---------110     =      32
      34---------11     =      47
      34---------105     =      25
      34---------122     =      31
      34---------76     =      45
      34---------27     =      51
      34---------89     =      32
      34---------119     =      36
      34---------30     =      49
      34---------107     =      47
      34---------85     =      21
      34---------21     =      38
      34---------71     =      39
      34---------67     =      32
      34---------48     =      45
      34---------42     =      34
      34---------43     =      39
      34---------99     =      57
      34---------15     =      30
      34---------2     =      44
      34---------68     =      45
      34---------114     =      32
      34---------111     =      37
      34---------82     =      37
      34---------52     =      38
      34---------118     =      33
      34---------16     =      49
      34---------32     =      23
      34---------31     =      29
      34---------57     =      54
      34---------69     =      35
      34---------96     =      20
      34---------117     =      52
      34---------106     =      34
      34---------93     =      32
      34---------60     =      41
      34---------13     =      26
      34---------56     =      15
      34---------17     =      53
      34---------84     =      38
      34---------95     =      59
      34---------61     =      41
      34---------77     =      32
      34---------109     =      32
      34---------47     =      41
      34---------4     =      30
      34---------91     =      35
      34---------83     =      51
      34---------59     =      2
      34---------87     =      35
      34---------94     =      42
      34---------55     =      43
      34---------90     =      42
      34---------35     =      60
      34---------53     =      15
      34---------123     =      39
      34---------74     =      39
      34---------81     =      21
      34---------5     =      34
      34---------86     =      26
      34---------6     =      63
      34---------115     =      46
      34---------70     =      33
      34---------8     =      27
      34---------45     =      21
      34---------98     =      72
      34---------62     =      35
      34---------19     =      51
      34---------34     =      0
      34---------41     =      48
      34---------23     =      43
      34---------78     =      51
      34---------24     =      21
      34---------36     =      43
      34---------101     =      45
      34---------54     =      41
      34---------49     =      34
      34---------14     =      43
      41---------73     =      49
      41---------26     =      28
      41---------64     =      14
      41---------28     =      44
      41---------3     =      43
      41---------40     =      21
      41---------80     =      35
      41---------44     =      49
      41---------120     =      38
      41---------79     =      34
      41---------103     =      28
      41---------121     =      20
      41---------12     =      50
      41---------63     =      36
      41---------75     =      5
      41---------9     =      63
      41---------113     =      67
      41---------10     =      30
      41---------50     =      19
      41---------100     =      31
      41---------25     =      45
      41---------39     =      38
      41---------116     =      23
      41---------20     =      28
      41---------66     =      41
      41---------72     =      27
      41---------38     =      22
      41---------51     =      26
      41---------29     =      44
      41---------92     =      28
      41---------65     =      31
      41---------102     =      37
      41---------33     =      35
      41---------112     =      42
      41---------18     =      31
      41---------108     =      53
      41---------46     =      20
      41---------124     =      5
      41---------37     =      39
      41---------104     =      15
      41---------88     =      28
      41---------7     =      32
      41---------97     =      23
      41---------22     =      27
      41---------0     =      47
      41---------58     =      55
      41---------1     =      37
      41---------110     =      35
      41---------11     =      44
      41---------105     =      34
      41---------122     =      32
      41---------76     =      31
      41---------27     =      48
      41---------89     =      38
      41---------119     =      22
      41---------30     =      50
      41---------107     =      37
      41---------85     =      32
      41---------21     =      33
      41---------71     =      31
      41---------67     =      21
      41---------48     =      35
      41---------42     =      29
      41---------43     =      35
      41---------99     =      39
      41---------15     =      23
      41---------2     =      35
      41---------68     =      38
      41---------114     =      42
      41---------111     =      21
      41---------82     =      30
      41---------52     =      31
      41---------118     =      36
      41---------16     =      12
      41---------32     =      30
      41---------31     =      25
      41---------57     =      22
      41---------69     =      21
      41---------96     =      28
      41---------117     =      53
      41---------106     =      20
      41---------93     =      50
      41---------60     =      27
      41---------13     =      21
      41---------56     =      20
      41---------17     =      34
      41---------84     =      28
      41---------95     =      11
      41---------61     =      34
      41---------77     =      21
      41---------109     =      28
      41---------47     =      44
      41---------4     =      35
      41---------91     =      36
      41---------83     =      41
      41---------59     =      17
      41---------87     =      7
      41---------94     =      12
      41---------55     =      15
      41---------90     =      25
      41---------35     =      46
      41---------53     =      28
      41---------123     =      38
      41---------74     =      33
      41---------81     =      7
      41---------5     =      6
      41---------86     =      34
      41---------6     =      55
      41---------115     =      12
      41---------70     =      32
      41---------8     =      29
      41---------45     =      26
      41---------98     =      53
      41---------62     =      37
      41---------19     =      28
      41---------34     =      15
      41---------41     =      0
      41---------23     =      28
      41---------78     =      44
      41---------24     =      23
      41---------36     =      38
      41---------101     =      26
      41---------54     =      27
      41---------49     =      22
      41---------14     =      35
      23---------73     =      42
      23---------26     =      22
      23---------64     =      14
      23---------28     =      10
      23---------3     =      19
      23---------40     =      37
      23---------80     =      47
      23---------44     =      36
      23---------120     =      18
      23---------79     =      38
      23---------103     =      39
      23---------121     =      22
      23---------12     =      40
      23---------63     =      16
      23---------75     =      21
      23---------9     =      40
      23---------113     =      66
      23---------10     =      46
      23---------50     =      35
      23---------100     =      34
      23---------25     =      21
      23---------39     =      41
      23---------116     =      19
      23---------20     =      22
      23---------66     =      38
      23---------72     =      29
      23---------38     =      38
      23---------51     =      28
      23---------29     =      38
      23---------92     =      40
      23---------65     =      47
      23---------102     =      17
      23---------33     =      44
      23---------112     =      42
      23---------18     =      34
      23---------108     =      40
      23---------46     =      23
      23---------124     =      21
      23---------37     =      12
      23---------104     =      20
      23---------88     =      33
      23---------7     =      17
      23---------97     =      27
      23---------22     =      10
      23---------0     =      30
      23---------58     =      35
      23---------1     =      24
      23---------110     =      33
      23---------11     =      37
      23---------105     =      15
      23---------122     =      35
      23---------76     =      36
      23---------27     =      48
      23---------89     =      30
      23---------119     =      22
      23---------30     =      31
      23---------107     =      44
      23---------85     =      15
      23---------21     =      14
      23---------71     =      15
      23---------67     =      23
      23---------48     =      36
      23---------42     =      28
      23---------43     =      32
      23---------99     =      50
      23---------15     =      20
      23---------2     =      1
      23---------68     =      35
      23---------114     =      26
      23---------111     =      33
      23---------82     =      21
      23---------52     =      22
      23---------118     =      37
      23---------16     =      6
      23---------32     =      13
      23---------31     =      17
      23---------57     =      25
      23---------69     =      24
      23---------96     =      21
      23---------117     =      37
      23---------106     =      28
      23---------93     =      32
      23---------60     =      40
      23---------13     =      22
      23---------56     =      19
      23---------17     =      26
      23---------84     =      22
      23---------95     =      27
      23---------61     =      31
      23---------77     =      23
      23---------109     =      35
      23---------47     =      29
      23---------4     =      22
      23---------91     =      36
      23---------83     =      38
      23---------59     =      6
      23---------87     =      23
      23---------94     =      24
      23---------55     =      31
      23---------90     =      34
      23---------35     =      42
      23---------53     =      19
      23---------123     =      31
      23---------74     =      40
      23---------81     =      23
      23---------5     =      22
      23---------86     =      30
      23---------6     =      56
      23---------115     =      28
      23---------70     =      26
      23---------8     =      21
      23---------45     =      25
      23---------98     =      47
      23---------62     =      29
      23---------19     =      33
      23---------34     =      4
      23---------41     =      16
      23---------23     =      0
      23---------78     =      44
      23---------24     =      25
      23---------36     =      31
      23---------101     =      39
      23---------54     =      36
      23---------49     =      16
      23---------14     =      7
      78---------73     =      59
      78---------26     =      32
      78---------64     =      34
      78---------28     =      27
      78---------3     =      47
      78---------40     =      34
      78---------80     =      46
      78---------44     =      57
      78---------120     =      31
      78---------79     =      46
      78---------103     =      57
      78---------121     =      48
      78---------12     =      61
      78---------63     =      41
      78---------75     =      28
      78---------9     =      57
      78---------113     =      63
      78---------10     =      52
      78---------50     =      29
      78---------100     =      47
      78---------25     =      45
      78---------39     =      9
      78---------116     =      48
      78---------20     =      24
      78---------66     =      45
      78---------72     =      22
      78---------38     =      36
      78---------51     =      54
      78---------29     =      34
      78---------92     =      36
      78---------65     =      44
      78---------102     =      40
      78---------33     =      29
      78---------112     =      30
      78---------18     =      47
      78---------108     =      47
      78---------46     =      48
      78---------124     =      33
      78---------37     =      37
      78---------104     =      10
      78---------88     =      23
      78---------7     =      38
      78---------97     =      18
      78---------22     =      36
      78---------0     =      37
      78---------58     =      23
      78---------1     =      41
      78---------110     =      29
      78---------11     =      35
      78---------105     =      32
      78---------122     =      27
      78---------76     =      45
      78---------27     =      36
      78---------89     =      38
      78---------119     =      24
      78---------30     =      42
      78---------107     =      31
      78---------85     =      27
      78---------21     =      44
      78---------71     =      19
      78---------67     =      43
      78---------48     =      52
      78---------42     =      18
      78---------43     =      36
      78---------99     =      54
      78---------15     =      18
      78---------2     =      30
      78---------68     =      29
      78---------114     =      30
      78---------111     =      23
      78---------82     =      13
      78---------52     =      14
      78---------118     =      34
      78---------16     =      24
      78---------32     =      38
      78---------31     =      38
      78---------57     =      36
      78---------69     =      34
      78---------96     =      32
      78---------117     =      25
      78---------106     =      20
      78---------93     =      48
      78---------60     =      38
      78---------13     =      29
      78---------56     =      22
      78---------17     =      47
      78---------84     =      39
      78---------95     =      51
      78---------61     =      25
      78---------77     =      30
      78---------109     =      19
      78---------47     =      21
      78---------4     =      14
      78---------91     =      39
      78---------83     =      36
      78---------59     =      25
      78---------87     =      19
      78---------94     =      14
      78---------55     =      27
      78---------90     =      26
      78---------35     =      41
      78---------53     =      32
      78---------123     =      23
      78---------74     =      4
      78---------81     =      35
      78---------5     =      18
      78---------86     =      25
      78---------6     =      12
      78---------115     =      43
      78---------70     =      37
      78---------8     =      25
      78---------45     =      28
      78---------98     =      61
      78---------62     =      33
      78---------19     =      23
      78---------34     =      17
      78---------41     =      42
      78---------23     =      45
      78---------78     =      0
      78---------24     =      28
      78---------36     =      9
      78---------101     =      42
      78---------54     =      31
      78---------49     =      18
      78---------14     =      36
      24---------73     =      55
      24---------26     =      75
      24---------64     =      49
      24---------28     =      61
      24---------3     =      39
      24---------40     =      56
      24---------80     =      71
      24---------44     =      72
      24---------120     =      60
      24---------79     =      82
      24---------103     =      18
      24---------121     =      42
      24---------12     =      76
      24---------63     =      44
      24---------75     =      53
      24---------9     =      68
      24---------113     =      81
      24---------10     =      70
      24---------50     =      55
      24---------100     =      49
      24---------25     =      30
      24---------39     =      50
      24---------116     =      39
      24---------20     =      47
      24---------66     =      68
      24---------72     =      49
      24---------38     =      47
      24---------51     =      48
      24---------29     =      56
      24---------92     =      58
      24---------65     =      63
      24---------102     =      45
      24---------33     =      62
      24---------112     =      69
      24---------18     =      45
      24---------108     =      68
      24---------46     =      63
      24---------124     =      49
      24---------37     =      40
      24---------104     =      59
      24---------88     =      72
      24---------7     =      36
      24---------97     =      47
      24---------22     =      60
      24---------0     =      36
      24---------58     =      54
      24---------1     =      53
      24---------110     =      42
      24---------11     =      77
      24---------105     =      44
      24---------122     =      56
      24---------76     =      56
      24---------27     =      68
      24---------89     =      42
      24---------119     =      47
      24---------30     =      59
      24---------107     =      57
      24---------85     =      31
      24---------21     =      49
      24---------71     =      34
      24---------67     =      43
      24---------48     =      56
      24---------42     =      38
      24---------43     =      49
      24---------99     =      56
      24---------15     =      40
      24---------2     =      67
      24---------68     =      55
      24---------114     =      42
      24---------111     =      47
      24---------82     =      40
      24---------52     =      41
      24---------118     =      43
      24---------16     =      63
      24---------32     =      33
      24---------31     =      50
      24---------57     =      58
      24---------69     =      56
      24---------96     =      30
      24---------117     =      66
      24---------106     =      63
      24---------93     =      60
      24---------60     =      20
      24---------13     =      42
      24---------56     =      44
      24---------17     =      63
      24---------84     =      58
      24---------95     =      70
      24---------61     =      51
      24---------77     =      42
      24---------109     =      31
      24---------47     =      62
      24---------4     =      55
      24---------91     =      45
      24---------83     =      66
      24---------59     =      31
      24---------87     =      46
      24---------94     =      44
      24---------55     =      54
      24---------90     =      42
      24---------35     =      82
      24---------53     =      62
      24---------123     =      61
      24---------74     =      49
      24---------81     =      50
      24---------5     =      45
      24---------86     =      53
      24---------6     =      73
      24---------115     =      56
      24---------70     =      43
      24---------8     =      37
      24---------45     =      50
      24---------98     =      82
      24---------62     =      45
      24---------19     =      67
      24---------34     =      47
      24---------41     =      59
      24---------23     =      57
      24---------78     =      61
      24---------24     =      0
      24---------36     =      64
      24---------101     =      55
      24---------54     =      47
      24---------49     =      59
      24---------14     =      54
      36---------73     =      43
      36---------26     =      46
      36---------64     =      28
      36---------28     =      30
      36---------3     =      25
      36---------40     =      45
      36---------80     =      48
      36---------44     =      37
      36---------120     =      27
      36---------79     =      58
      36---------103     =      48
      36---------121     =      34
      36---------12     =      35
      36---------63     =      23
      36---------75     =      41
      36---------9     =      46
      36---------113     =      75
      36---------10     =      61
      36---------50     =      32
      36---------100     =      25
      36---------25     =      26
      36---------39     =      32
      36---------116     =      26
      36---------20     =      23
      36---------66     =      44
      36---------72     =      25
      36---------38     =      26
      36---------51     =      40
      36---------29     =      45
      36---------92     =      47
      36---------65     =      42
      36---------102     =      24
      36---------33     =      51
      36---------112     =      49
      36---------18     =      42
      36---------108     =      35
      36---------46     =      24
      36---------124     =      36
      36---------37     =      19
      36---------104     =      1
      36---------88     =      14
      36---------7     =      12
      36---------97     =      9
      36---------22     =      30
      36---------0     =      36
      36---------58     =      51
      36---------1     =      32
      36---------110     =      31
      36---------11     =      26
      36---------105     =      23
      36---------122     =      18
      36---------76     =      35
      36---------27     =      55
      36---------89     =      31
      36---------119     =      21
      36---------30     =      38
      36---------107     =      39
      36---------85     =      10
      36---------21     =      27
      36---------71     =      10
      36---------67     =      34
      36---------48     =      43
      36---------42     =      33
      36---------43     =      27
      36---------99     =      45
      36---------15     =      9
      36---------2     =      21
      36---------68     =      24
      36---------114     =      21
      36---------111     =      14
      36---------82     =      16
      36---------52     =      17
      36---------118     =      22
      36---------16     =      42
      36---------32     =      29
      36---------31     =      29
      36---------57     =      39
      36---------69     =      25
      36---------96     =      27
      36---------117     =      39
      36---------106     =      40
      36---------93     =      39
      36---------60     =      25
      36---------13     =      21
      36---------56     =      13
      36---------17     =      41
      36---------84     =      34
      36---------95     =      57
      36---------61     =      20
      36---------77     =      21
      36---------109     =      10
      36---------47     =      35
      36---------4     =      28
      36---------91     =      36
      36---------83     =      27
      36---------59     =      28
      36---------87     =      22
      36---------94     =      5
      36---------55     =      24
      36---------90     =      23
      36---------35     =      32
      36---------53     =      23
      36---------123     =      37
      36---------74     =      37
      36---------81     =      29
      36---------5     =      21
      36---------86     =      16
      36---------6     =      51
      36---------115     =      34
      36---------70     =      38
      36---------8     =      16
      36---------45     =      19
      36---------98     =      53
      36---------62     =      24
      36---------19     =      14
      36---------34     =      8
      36---------41     =      46
      36---------23     =      36
      36---------78     =      39
      36---------24     =      19
      36---------36     =      0
      36---------101     =      33
      36---------54     =      28
      36---------49     =      32
      36---------14     =      27
      101---------73     =      32
      101---------26     =      2
      101---------64     =      31
      101---------28     =      61
      101---------3     =      49
      101---------40     =      18
      101---------80     =      55
      101---------44     =      39
      101---------120     =      35
      101---------79     =      54
      101---------103     =      17
      101---------121     =      37
      101---------12     =      58
      101---------63     =      25
      101---------75     =      22
      101---------9     =      68
      101---------113     =      53
      101---------10     =      36
      101---------50     =      21
      101---------100     =      43
      101---------25     =      49
      101---------39     =      48
      101---------116     =      12
      101---------20     =      36
      101---------66     =      29
      101---------72     =      33
      101---------38     =      34
      101---------51     =      43
      101---------29     =      18
      101---------92     =      20
      101---------65     =      28
      101---------102     =      24
      101---------33     =      24
      101---------112     =      31
      101---------18     =      41
      101---------108     =      39
      101---------46     =      33
      101---------124     =      22
      101---------37     =      40
      101---------104     =      17
      101---------88     =      30
      101---------7     =      42
      101---------97     =      25
      101---------22     =      31
      101---------0     =      43
      101---------58     =      41
      101---------1     =      26
      101---------110     =      15
      101---------11     =      42
      101---------105     =      24
      101---------122     =      24
      101---------76     =      22
      101---------27     =      23
      101---------89     =      15
      101---------119     =      8
      101---------30     =      52
      101---------107     =      26
      101---------85     =      24
      101---------21     =      22
      101---------71     =      23
      101---------67     =      38
      101---------48     =      29
      101---------42     =      28
      101---------43     =      22
      101---------99     =      40
      101---------15     =      25
      101---------2     =      18
      101---------68     =      37
      101---------114     =      34
      101---------111     =      30
      101---------82     =      29
      101---------52     =      30
      101---------118     =      32
      101---------16     =      23
      101---------32     =      30
      101---------31     =      2
      101---------57     =      39
      101---------69     =      34
      101---------96     =      37
      101---------117     =      45
      101---------106     =      37
      101---------93     =      41
      101---------60     =      27
      101---------13     =      31
      101---------56     =      29
      101---------17     =      36
      101---------84     =      38
      101---------95     =      43
      101---------61     =      36
      101---------77     =      34
      101---------109     =      20
      101---------47     =      46
      101---------4     =      39
      101---------91     =      52
      101---------83     =      43
      101---------59     =      31
      101---------87     =      24
      101---------94     =      21
      101---------55     =      32
      101---------90     =      39
      101---------35     =      48
      101---------53     =      39
      101---------123     =      34
      101---------74     =      38
      101---------81     =      24
      101---------5     =      23
      101---------86     =      32
      101---------6     =      46
      101---------115     =      1
      101---------70     =      31
      101---------8     =      29
      101---------45     =      35
      101---------98     =      56
      101---------62     =      37
      101---------19     =      30
      101---------34     =      21
      101---------41     =      32
      101---------23     =      17
      101---------78     =      34
      101---------24     =      34
      101---------36     =      16
      101---------101     =      0
      101---------54     =      39
      101---------49     =      33
      101---------14     =      24
      54---------73     =      34
      54---------26     =      41
      54---------64     =      29
      54---------28     =      43
      54---------3     =      14
      54---------40     =      43
      54---------80     =      32
      54---------44     =      27
      54---------120     =      18
      54---------79     =      49
      54---------103     =      54
      54---------121     =      17
      54---------12     =      40
      54---------63     =      28
      54---------75     =      24
      54---------9     =      37
      54---------113     =      36
      54---------10     =      45
      54---------50     =      23
      54---------100     =      38
      54---------25     =      16
      54---------39     =      36
      54---------116     =      14
      54---------20     =      27
      54---------66     =      31
      54---------72     =      17
      54---------38     =      31
      54---------51     =      23
      54---------29     =      46
      54---------92     =      48
      54---------65     =      47
      54---------102     =      29
      54---------33     =      30
      54---------112     =      37
      54---------18     =      31
      54---------108     =      37
      54---------46     =      30
      54---------124     =      24
      54---------37     =      24
      54---------104     =      34
      54---------88     =      20
      54---------7     =      25
      54---------97     =      15
      54---------22     =      37
      54---------0     =      25
      54---------58     =      43
      54---------1     =      14
      54---------110     =      16
      54---------11     =      52
      54---------105     =      29
      54---------122     =      24
      54---------76     =      29
      54---------27     =      43
      54---------89     =      28
      54---------119     =      27
      54---------30     =      43
      54---------107     =      32
      54---------85     =      15
      54---------21     =      24
      54---------71     =      23
      54---------67     =      18
      54---------48     =      31
      54---------42     =      39
      54---------43     =      33
      54---------99     =      51
      54---------15     =      15
      54---------2     =      39
      54---------68     =      30
      54---------114     =      26
      54---------111     =      32
      54---------82     =      22
      54---------52     =      23
      54---------118     =      13
      54---------16     =      46
      54---------32     =      8
      54---------31     =      25
      54---------57     =      41
      54---------69     =      31
      54---------96     =      16
      54---------117     =      45
      54---------106     =      39
      54---------93     =      44
      54---------60     =      35
      54---------13     =      18
      54---------56     =      30
      54---------17     =      47
      54---------84     =      28
      54---------95     =      45
      54---------61     =      26
      54---------77     =      18
      54---------109     =      1
      54---------47     =      37
      54---------4     =      41
      54---------91     =      31
      54---------83     =      33
      54---------59     =      17
      54---------87     =      26
      54---------94     =      31
      54---------55     =      30
      54---------90     =      33
      54---------35     =      62
      54---------53     =      38
      54---------123     =      22
      54---------74     =      35
      54---------81     =      26
      54---------5     =      25
      54---------86     =      30
      54---------6     =      51
